fecha,entidad,hospitalizados,camas_intubados
2020-08-28,Ciudad de México,2872,703
2020-08-28,Estado de México,955,192
2020-08-30,Ciudad de México,2839,702
2020-08-30,Estado de México,918,186
2020-08-31,Ciudad de México,2914,716
2020-08-31,Estado de México,919,196
2020-09-06,Ciudad de México,2849,691
2020-09-06,Estado de México,895,186
2020-09-10,Ciudad de México,2931,682
2020-09-10,Estado de México,954,201
2020-09-12,Ciudad de México,2858,701
2020-09-12,Estado de México,948,196
2020-09-13,Ciudad de México,2852,691
2020-09-13,Estado de México,939,189
2020-09-14,Ciudad de México,2873,698
2020-09-14,Estado de México,931,200
2020-09-16,Ciudad de México,2812,692
2020-09-16,Estado de México,937,193
2020-09-21,Ciudad de México,2729,705
2020-09-21,Estado de México,881,189
2020-09-22,Ciudad de México,2722,684
2020-09-22,Estado de México,866,186
2020-09-24,Ciudad de México,2666,684
2020-09-24,Estado de México,855,180
2020-09-27,Ciudad de México,2542,681
2020-09-27,Estado de México,837,160
2020-10-06,Ciudad de México,2597,670
2020-10-06,Estado de México,923,167
2020-10-08,Ciudad de México,2586,676
2020-10-08,Estado de México,893,185
2020-10-12,Ciudad de México,2633,698
2020-10-12,Estado de México,905,174
2020-10-13,Ciudad de México,2651,679
2020-10-13,Estado de México,897,177
2020-10-24,Ciudad de México,2757,712
2020-10-24,Estado de México,954,183
2020-10-27,Ciudad de México,2831,725
2020-10-27,Estado de México,983,200
2020-10-30,Ciudad de México,2848,716
2020-10-30,Estado de México,981,211
2020-11-05,Ciudad de México,2910,756
2020-11-05,Estado de México,952,190
2020-11-07,Ciudad de México,2845,741
2020-11-07,Estado de México,947,195
2020-11-15,Ciudad de México,3301,851
2020-11-15,Estado de México,1042,205
2020-11-19,Ciudad de México,3418,837
2020-11-19,Estado de México,1166,219
2020-11-21,Ciudad de México,3387,861
2020-11-21,Estado de México,1157,232
2020-11-22,Ciudad de México,3457,872
2020-11-22,Estado de México,1179,242
2020-11-23,Ciudad de México,3455,864
2020-11-23,Estado de México,1212,250
2020-11-26,Ciudad de México,3618,886
2020-11-26,Estado de México,1258,246
2020-11-28,Ciudad de México,3703,931
2020-11-28,Estado de México,1332,258
2020-11-29,Ciudad de México,3725,922
2020-11-29,Estado de México,1308,257
2020-12-01,Ciudad de México,3897,931
2020-12-01,Estado de México,1386,264
2020-12-03,Ciudad de México,3902,895
2020-12-03,Estado de México,1448,246
2020-12-05,Ciudad de México,3981,918
2020-12-05,Estado de México,1472,273
2020-12-06,Ciudad de México,4021,943
2020-12-06,Estado de México,1484,277
2020-12-07,Ciudad de México,4119,954
2020-12-07,Estado de México,1561,277
2020-12-13,Ciudad de México,4598,1057
2020-12-13,Estado de México,1828,299
2020-12-19,Ciudad de México,5031,1277
2020-12-19,Estado de México,2021,374
2020-12-30,Ciudad de México,5895,1568
2020-12-30,Estado de México,2365,481
2021-01-03,Ciudad de México,6060,1641
2021-01-03,Estado de México,2432,478
2021-01-07,Ciudad de México,6316,1634
2021-01-07,Estado de México,2523,504
2020-04-03,Ciudad de México,405,124
2020-04-03,Estado de México,43,7
2020-04-04,Ciudad de México,434,127
2020-04-04,Estado de México,40,5
2020-04-05,Ciudad de México,509,146
2020-04-05,Estado de México,37,7
2020-04-09,Ciudad de México,768,249
2020-04-09,Estado de México,87,39
2020-04-22,Ciudad de México,1932,570
2020-04-22,Estado de México,642,133
2020-04-26,Ciudad de México,2572,723
2020-04-26,Estado de México,1047,164
2020-04-27,Ciudad de México,2689,747
2020-04-27,Estado de México,1107,154
2020-04-29,Ciudad de México,2765,805
2020-04-29,Estado de México,1149,196
